Alabama,2527247
Alaska,666511
Arizona,5071446
Arkansas,1425147
California,46377481
Colorado,5045621
Connecticut,4526932
Delaware,910520
District of Columbia,1805725
Florida,13545032
Georgia,7696836
Hawaii,1393239
Idaho,1030159
Illinois,14787329
Indiana,5547317
Iowa,1299487
Kansas,1457302
Kentucky,2018078
Louisiana,2996791
Maine,1361769
Maryland,5227479
Massachusetts,11140091
Michigan,6679815
Minnesota,3592080
Mississippi,1578415
Missouri,4018729
Montana,684368
Nebraska,668722
Nevada,2335971
New Hampshire,1122754
New Jersey,7124688
New Mexico,1084949
New York,24447523
North Carolina,11036868
North Dakota,349445
Ohio,5601757
Oklahoma,4092480
Oregon,3948449
Pennsylvania,8687589
Rhode Island,799299
South Carolina,5514097
South Dakota,477042
Tennessee,3681239
Texas,17334021
Utah,2749131
Vermont,383676
Virginia,6820238
Washington,7416982
West Virginia,809780
Wisconsin,3884297
Wyoming,231404
other,7959090
